Name,geo_loc
India Durgapur,"(31.6583488, 76.8256984)"
India Asansol,"(23.6871297, 86.9746587)"
India Kolkata,"(22.5677459, 88.3476023)"
India Durgapur (WB),"(23.5675807, 87.3178568)"
India Baruipur,"(22.3654432, 88.4325028)"
India Barrackpore,"(22.7641623, 88.3776088)"
India Raniganj,"(23.6105991, 87.119735)"
India Sankrail,"(22.21589405, 87.1053861142802)"
India South Suburban,
India DANKUNI,"(22.6820899, 88.2907444)"
India HALDIA,"(22.028124, 88.0632655)"
India Kalyani,"(22.9749723, 88.4345915)"
India MALDAH,"(25.0, 88.0)"
India SILIGURI,"(26.7164127, 88.4309916)"
India ULUBERIA,"(22.4723552, 88.0932373)"
India nan,"(22.3511148, 78.6677428)"
